Part #,Description,List Price,WWT Cost,Customer Price,Qty,Manufacturer,Vendor,Additional Description,Cust Product #,Lab Flag (Y/N),Contract Start Date (MM/DD/YYYY),Contract End Date (MM/DD/YYYY),Serial #,Vendor Quote #,Duration,Lead Time,Cost Type
7150K97,,,$3.90 ,,50,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7150K79,,,$4.48 ,,50,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
3230T36,,,$43.27 ,,20,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
3310T57,,,$48.74 ,,20,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
3312T62,,,$1.35 ,,100,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
3312T63,,,$1.79 ,,100,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
98957A031,,,$16.76 ,,60,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
7715T17,,,$0.86 ,,100,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
92865A540,,,$10.15 ,,3,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
90027A211,,,$11.79 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
91090A112,,,$9.07 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
91102A760,,,$5.95 ,,5,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
91550A199,,,$5.87 ,,5,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
91550A245,,,$9.32 ,,2,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
92240A542,,,$7.13 ,,1,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
92240A636,,,$4.37 ,,1,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
95462A029,95462A029,,$6.34 ,,1,MIAMI systems ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
92164A029,,,$9.00 ,,1,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
92141A029,,,$4.01 ,,1,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
92146A029,,,$4.38 ,,1,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
97121A045,,,$13.54 ,,2,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
97121A021,,,$13.46 ,,2,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
76455A22,,,$7.50 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
9402T61,,,$8.81 ,,10,MCMASTER-CARR SUPPLY CO.,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
TZE231,1/2 BLACK/WHITE TAPE,,$11.16 ,,5,BROTHER MOBILE SOLUTIONS,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
TZE241,3/4 BLACK/WHITE TAPE,,$13.31 ,,5,BROTHER MOBILE SOLUTIONS,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
TZE251,1 BLACK/WHITE TAPE,,$15.85 ,,5,BROTHER MOBILE SOLUTIONS,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
NO BID,,,$0.00 ,,0,General Brand ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
NO BID,,,$0.00 ,,0,General Brand ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
NO BID,,,$0.00 ,,0,General Brand ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
FOCMR10-005M-SCSC-RD,,,$47.26 ,,5,BLACK BOX,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
