ITEM #,QTY,SUPPLIER,PART NUMBER,DESCRIPTION,PRICE,UNIT,ADDITIONAL DESCRIPTION 
15800,60,MCMASTER-CARR SUPPLY COMPANY,98957A031,,$16.76 ,1,
15900,100,MCMASTER-CARR SUPPLY COMPANY,7715T17,,$0.86 ,1,
16000,3,MCMASTER-CARR SUPPLY COMPANY,92865A540,,$10.15 ,1,
16100,10,MCMASTER-CARR SUPPLY COMPANY,90027A211,,$11.79 ,1,
16200,10,MCMASTER-CARR SUPPLY COMPANY,91090A112,,$9.07 ,1,
16300,5,MCMASTER-CARR SUPPLY COMPANY,91102A760,,$5.95 ,1,
16400,5,MCMASTER-CARR SUPPLY COMPANY,91550A199,,$5.87 ,1,
16500,2,MCMASTER-CARR SUPPLY COMPANY,91550A245,,$9.32 ,1,
16600,1,MCMASTER-CARR SUPPLY COMPANY,92240A542,,$7.13 ,1,
16700,1,MCMASTER-CARR SUPPLY COMPANY,92240A636,,$4.37 ,1,
16800,1,MIAMI MAGNET CO,95462A029,95462A029,$6.34 ,1,"Medium-Strength Steel Hex Nut, Grade 5, Zinc-Plated, 1/4""-20 Thread Size, packs of 100"
16900,1,MCMASTER-CARR SUPPLY COMPANY,92164A029,,$9.00 ,1,
17000,1,MCMASTER-CARR SUPPLY COMPANY,92141A029,,$4.01 ,1,
17100,1,MCMASTER-CARR SUPPLY COMPANY,92146A029,,$4.38 ,1,
17200,2,MCMASTER-CARR SUPPLY COMPANY,97121A045,,$13.54 ,1,
17300,2,MCMASTER-CARR SUPPLY COMPANY,97121A021,,$13.46 ,1,
17400,10,MCMASTER-CARR SUPPLY COMPANY,76455A22,,$7.50 ,1,
17500,10,MCMASTER-CARR SUPPLY COMPANY,9402T61,,$8.81 ,1,
17600,5,BROTHER MOBILE SOLUTIONS INC,TZE231,1/2 BLACK/WHITE TAPE,$11.16 ,1,
17700,5,BROTHER MOBILE SOLUTIONS INC,TZE241,3/4 BLACK/WHITE TAPE,$13.31 ,1,
17800,5,BROTHER MOBILE SOLUTIONS INC,TZE251,1 BLACK/WHITE TAPE,$15.85 ,1,
17900,0,,NO BID,,$0.00 ,0,
18000,0,,NO BID,,$0.00 ,0,
18100,0,,NO BID,,$0.00 ,0,
18200,5,BLACK BOX CORP,FOCMR10-005M-SCSC-RD,,$47.26 ,1,
18300,6,COOPER B-LINE SYSTEMS,FT BE 2X4,2INH X 4INW BLIND END,$7.12 ,1,
18400,55,COOPER B-LINE SYSTEMS,FT2X4X10,ELECTRO GALV FLEX TRAY,$46.11 ,1,
18500,1,COOPER B-LINE SYSTEMS,B719EB,END BUMPERS FR WIRE BSKT,$0.47 ,1,
18600,74,COOPER B-LINE SYSTEMS,PEDESTAL CLAMP,PEDESTAL ATTACHMENT CLAMP,$5.79 ,1,
18700,3,COOPER B-LINE SYSTEMS,FTA075CC,CONDUIT CLIP,$3.76 ,1,
18800,1,COOPER B-LINE SYSTEMS,DROP OUT,8IN DROPOUT GALVANIZED,$5.42 ,1,
18900,300,COOPER B-LINE SYSTEMS,SUPT WASHER,SUPPORT WASHER,$0.86 ,1,
19000,200,COOPER B-LINE SYSTEMS,SUPT WASHER,SUPPORT WASHER,$0.86 ,1,
19100,119,COOPER B-LINE SYSTEMS,8 L BRKT,8IN L BRCKT PRE-GALVNZD,$5.81 ,1,
19200,15,COOPER B-LINE SYSTEMS,90 DEGREE KIT,90 DEGREE KIT 2 BARS 8 WASHER SLICE KIT,$13.99 ,1,
19300,200,COOPER B-LINE SYSTEMS,FTSCH,SPLICE HARDWARE WIRE BSKT ACCESSORY,$0.93 ,1,
19400,100,COOPER B-LINE SYSTEMS,B201ZN,SQ/WASH 7/16IN HOLE 3/8IN BOLT ZN PLTD,$63.15 ,100,
19500,100,COOPER B-LINE SYSTEMS,B201DZN,NOTWIST SQWASHER 7/16IN HLE 3/8IN BLT ZN,$98.62 ,100,
19600,10,BRADY WORLDWIDE INCORPORATED,PTL-74-461,,$16.62 ,1,
19700,7,BRADY WORLDWIDE INCORPORATED,PTL-64-427,1.000 IN X 3.375 IN (25.40MM X 85.73MM),$16.96 ,1,
19800,1,BRADY WORLDWIDE INCORPORATED,BMP71-SC-QC,BMP71 LABEL PRNTR /SFT CASE /QUICK CHRGR,$933.33 ,1,
