Part Number,Product,Qty,Ext Qty,Cat,List Price,Ext List Price,Pricing Comments,Comments,Reseller Net Price,Reseller Ext Net Price,Reseller Net Discount,Service Months,Currency Code,Contingency,Quote Name,Grouping Default,System Class,Hardware Total,Software Total,Storage Total,Top Root Line #,Child Item Seq,Orderable Flag,SOC Model,SOC System Qty,Total # of Heads,Total # of Shelves,JBOD Qty,Disk 1,# of Shelves disk 1,# of Shelves disk 2,Switch,Total # of Switches,Software Options,Software Licence Capacity,SOC Hardware Support,SOC Installation,SOC Software Subscription,Protocols,Product Type,Grouping Override,Disk 2
X-02657-00,"Rackmount Kit,212C,4-post,Adj",3,3,D,150,450,,,53.04,159.12,64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362799101,362799105,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
X800-42U-R6,"Power Cable,In-Cabinet,C13-C14",6,6,C,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362799101,362799103,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
FAS2720-103-C,"FAS2720,12x8TB,7.2K,-C",1,1,D,"12,900.00","12,900.00",,,"4,561.65","4,561.65",64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Storage,,,,,362799050,362799071,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
DS212C-07-8.0-12B-SK,"Disk Shelf,12G,12x8TB,7.2K,-SK",3,3,D,"12,900.00","38,700.00",,,"4,561.65","13,684.95",64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Storage,,,,,362799101,362799111,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
SW-2-CL-BASE,"SW-2,Base,CL,Node",1,1,N,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362799046,362799048,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
SW-2-2720A-TPM-C,"SW,Trusted Platform Module Enabled,2720A,-C",2,2,N,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362799050,362799068,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
SW-2-2720A-NVE-C,"SW,Data at Rest Encryption Enabled,2720A,-C",2,2,N,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362799050,362799069,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
SW-PREMIUM-NLSAS-01-C,"SW,Per-0.1TB,Premium,NLSAS,01,-C",3840,3840,K,32,"122,880.00",,,11.32,"43,468.80",64.63,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362799050,362799073,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,BUNDLE,,
DATA-AT-REST-ENCRYPTION,Data at Rest Encryption Capable Operating Sys,2,2,N,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Software,,,,,362799050,362799094,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
PS-DEPLOY-BASIC-FAS-L,"PS Deployment,Basic,FAS,Low",1,1,P,"2,500.00","2,500.00",,,"1,899.84","1,899.84",24.01,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Services,,,,,362799050,362799119,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
CS-BASE-SUPPORT,Base Software Support,1,1,S,"8,064.06","8,064.06",,,"4,111.10","4,111.10",49.02,36,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Services,,,,,362799050,3627991211,Y-Orderable Part,FAS2720A,,,,,,,,,,,,$0.00 ,$0.00 ,$0.00 ,,,,
CS-O2-4HR,SupportEdge Premium 4hr Onsite,1,1,S,"15,599.22","15,599.22",,,"7,952.58","7,952.58",49.02,36,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Services,,,,,362799050,3627991231,Y-Orderable Part,FAS2720A,,,,,,,,,,,,"$2,666.91 ",$0.00 ,"$5,285.67 ",,,,
CS-O2-4HR,SupportEdge Premium 4hr Onsite,1,1,S,"7,256.20","7,256.20",,,"3,699.25","3,699.25",49.02,36,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Services,,,,,362799101,3627991251,Y-Orderable Part,FAS2720A,,,,,,,,,,,,"$3,699.25 ",$0.00 ,$0.00 ,,,,
ED-TU-1-ZA,"Training Units,1,ZA,Exp.1yr from invoice date",120,120,P,75,"9,000.00",,,57,"6,840.00",24,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Services,,,,,362798866,362798937,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
